"Title","Type","Location","Logo","Phone","Fax","Mobile Phone","Member"
"Waterloo Cycles","EcoBusiness","
  
              
        2815 Fruth              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 472-9253","","",""
"Ricks Refills Printer Cartridges","EcoBusiness","
  
              
        6800 Westgate Blvd #133              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","","(512) 443-4465","","",""
"substance products","EcoBusiness","
  
                  Austin,               TX
              78721
                                          
      
      See map: Google Maps    
  ","","(512) 385-4326","","",""
"Zilker Botanical Garden","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        2220 Barton Springs Rd              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 477-8672","","",""
"White Egret Farm","EcoBusiness","
  
              
        15704 Webberville Road              
              Austin,               TX
              78724
                                          
      
      See map: Google Maps    
  ","","(512) 276-7408","","",""
"YoSoy Candle Company","EcoBusiness","
  
              
        P.O. Box 66634              
              Austin,               TX
              78766
                                          
      
      See map: Google Maps    
  ","","(512) 788-4534","","",""
"White Mountain Foods","EcoBusiness","
  
              
        3301 East 5th Street              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 385-4711","","",""
"SolarTex-Solatube","EcoBusiness","
  
              
        8711 Burnet Rd. Ste. B-35              
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","","(512) 371-0399","","",""
"Solavue","EcoBusiness","
  
              
        209 E Ben White Blvd. Ste. 103              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","","(512) 459-7652","","",""
"Retractable Solar Screens","EcoBusiness","
  
              
        12010 W. Hwy. 290 #220              
              Austin,               TX
              78737
                                          
      
      See map: Google Maps    
  ","","(800) 574-2337","","",""
"Solar Protection Screens","EcoBusiness","","","","","",""
"Ecorate LLC","EcoBusiness","
  
              
        5114 Balcones Woods Drive Ste. 307              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 964-3008","","",""
"Shelter Design and Construction Inc.","EcoBusiness","
  
              
        5000 Bee Caves Road Suite 206              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 330-9171","","",""
"Solluna Builders","EcoBusiness","
  
              
        7310 Sherwood Rd.              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","","(512) 804-2050","","",""
"University of Texas at Austin - School of Architecture Sustainable Design","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        1 University Station B7500              
              Austin,               TX
              78712
                                          
      
      See map: Google Maps    
  ","","","","",""
"EcoSafe Spaces","EcoBusiness","","sites/default/files/org_logos/transparent_ecosafe_spaces_logo_llc-final_7-5-09.png","(512) 738-7213","(512) 305-3864","",""
"Xlantic Media","EcoBusiness","
  
          Austin Art & Music Partnership studio warehouse
              
        411 W. Monroe              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/xm_mail_logo_1.jpg","(512) 772-1398","","",""
"H20 Operations - The Water Monster","EcoBusiness","
  
          The Water Monster Headquarters
              
        11105 Pairnoy Lane              
              Austin,               TX
              78739
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/Logo_0.gif","","","","mcraddock12"
"GreenGirls.net","EcoCommunity - non-profits, government agencies and community groups.","","sites/default/files/org_logos/3409871_0.jpg","","","",""
"Hondo Green","EcoBusiness","
  
              
        8310 N Capital of Texas Hwy Ste 345              
              Austin,               TX
              78731
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/HondoGreen.png","(512) 502-5141","(512) 502-5211","",""
"Cobra Clean - Biodegradable all purpose cleaner","EcoBusiness","","","","","",""
"South House Upholstery","EcoBusiness","
  
                  Austin,               TX
              78748
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/SHlogoFinal.jpg","(512) 585-6192","","",""
"Keep Austin Beautiful","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        105 West Riverside Dr. Ste. 230              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 391-0621","","",""
"Lone Star Chapter Sierra Club","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        1202 San Antonio              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 477-1729","","",""
"Seed Coalition","EcoCommunity - non-profits, government agencies and community groups.","
  
          Seed Coalition
              
        1801 Westlake Drive #209              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 797-8481","","",""
"Texas Interfaith Power and Light","EcoCommunity - non-profits, government agencies and community groups.","
  
          Texas Interfaith Power and Light
              
        221 East 9th St              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 472-3903","","",""
"Ecstatic Cuisine","EcoBusiness","
  
          Ecstatic Cuisine
              
        5701 Springdale Rd              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 919-5100","","",""
"Natural Awakenings Magazine","EcoBusiness","
  
          201 W. Stassney Lane, Suite 502
                  Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logo_no_box.jpg","(512) 487-5842","(866) 294-2599","",""
"Goodpop","EcoBusiness","
  
          Goodpop
              
        11800 N Lamar #2B              
              Austin,               TX
              78753
                                          
      
      See map: Google Maps    
  ","","(281) 513-5776","","",""
"Edible Austin","EcoBusiness","
  
          Edible Austin
              
        1415 Newning Ave              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 441-3971","","",""
"Short Bus Subs","EcoBusiness","","","(512) 535-7827","","",""
"Austin Area Garden Council","EcoBusiness","
  
              
        2220 Barton Springs Rd.              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 477-8672","","",""
"Austin Clean Energy Incubator","EcoBusiness","
  
              
        3925 W.Braker Ln.               
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 322-9263","","",""
"Austin Energy","EcoCommunity - non-profits, government agencies and community groups.","
  
          Austin Energy
              
        721 Barton Springs Rd              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 322-6041","","",""
"Austin Parks  Foundation","EcoBusiness","
  
          Austin Parks Foundation
              
        815 Brazos St Suite 1001              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 477-1566","","",""
"BiG Austin","EcoBusiness","
  
          Big Austin
              
        1050 E 11th St              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 928-8010","","",""
"Collective Strength","EcoBusiness","
  
          Collective Strength
              
        501 North IH35              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 445-2200","","",""
"Computer Reuse & Recycling","EcoBusiness","
  
              
        2717 East 22nd St              
              Austin,               TX
              78722
                                          
      
      See map: Google Maps    
  ","","(512) 708-9872","","",""
"Ammathyst Rose","EcoBusiness","
  
          Ammathyst Designs
              
        Gibson & S. 5th Street              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 799-5093","","",""
"Aiden Cohen","EcoCommunity - non-profits, government agencies and community groups.","
  
          Municiapl Building 
              
        PO Box 1088              
              Austin,               TX
              78767
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/grn_pur_logo_d2_blue.jpg","(512) 974-2500","","",""
"Oslin Nation of Austin","EcoBusiness","
  
          Bill Glass
              
        1701 Pheasant Roost              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","","(512) 836-3330","","",""
"Zen Design Austin","EcoBusiness","
  
              
        1930 West Rundberg ln. suite 311              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","sites/default/files/org_logos/zendesignhoriz.jpg","(512) 821-1057","","",""
"Green Zone Home","EcoBusiness","
  
              
        3005 S. Lamar Blvd.                   Suite D-109-396              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/gzh_logo-rgb.jpg","(512) 467-0005","(512) 279-0354","",""
"Carbon Shrinks","EcoBusiness","","sites/default/files/org_logos/CarbonShrinks_logo_400x200_0.gif","(512) 698-2025(214) 608-0314","","",""
"Wildflower Organics","EcoBusiness","
  
          Wildflower Organics
              
        908 Lamar              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/wf_logo_.jpg","(512) 320-0994","(512) 236-1636","",""
"Design~Build~Live","EcoCommunity - non-profits, government agencies and community groups.","
  
          Design~Build~Live
              
        PO Box 49381              
              Austin,               TX
              78765
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/final_logo_only_cropped.jpg","(512) 478-9033","","","GayleBorstMichelle Hallahan"
"Maven Marketing Solutions","EcoBusiness","","","(512) 541-6520","","",""
"Echotown.net","EcoBusiness","
  
                  San Antonio,               TX
                                              
      
      See map: Google Maps    
  ","","(210) 299-1222","","",""
"US Business Council for Sustainable Development","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        4425 S.Mopac Bldg 2 Suite 202                                  
              Austin,               TX
              78735
                                          
      
      See map: Google Maps    
  ","","(512) 633-2904","","",""
"The CSR Group","EcoBusiness","
  
          The CSR Group
              
        P.O.BOX 5001              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","","(512) 320-8729","","",""
"Rabbit Hill Farm","EcoBusiness","
  
          Rabbit Hill Farm
              
        288 SW CR0020              
              Corsicana,               TX
              75110
                                          
      
      See map: Google Maps    
  ","","(903) 872-1488","","",""
"LCRA Lower Colorado River Authority","EcoBusiness","
  
          LCRA Headquarter
              
        3700 Lake Austin Blvd              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 473-3200","","",""
"CM Artisans LLC","EcoBusiness","
  
          CM Artisans LLC
              
        1169 N Burleson Blvd. Suite 107 PMB 249              
              Austin,               TX
              76028
                                          
      
      See map: Google Maps    
  ","","(682) 554-4590","","",""
"AVK Global","EcoBusiness","
  
          AVK Global
              
        4815 Braker Lane Suite 502-183              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 394-3604","","",""
"Fertile Ground Garden","EcoBusiness","
  
          Fertile Ground Garden
              
        Julie Donie Owner 7603 Basil Dr              
              Austin,               TX
              78750
                                          
      
      See map: Google Maps    
  ","","(217) 649-8591","","",""
"People Fund","EcoCommunity - non-profits, government agencies and community groups.","
  
          People Fund
              
        207 Chalmers Ave              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 472-8087","","",""
"Recycle Match","EcoBusiness","
  
          Recycle Match
              
        3375 WestPark Dr #321              
              Houston,               TX
              77005
                                          
      
      See map: Google Maps    
  ","","(713) 445-6636","","",""
"Loomis","EcoBusiness","
  
          Loomis
              
        3101 Bee Cave Rd Suite 100              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 327-1180","","",""
"The Nature Conservancy","EcoCommunity - non-profits, government agencies and community groups.","
  
          The Nature Conservancy
              
        4245 North Fairfax Dr, Suite 100              
              Austin,               TX
              22203-1606
                                          
      
      See map: Google Maps    
  ","","(703) 841-5300","","",""
"93.3 KGSR Radio","EcoBusiness","
  
          107.1 KGSR Radio
              
        8309 N I-35              
              Austin,               TX
              78753
                                          
      
      See map: Google Maps    
  ","","(512) 832-4000","","",""
"South by Southwest","EcoBusiness","
  
          South by Southwest
              
        P.O.BOX 4999              
              Austin,               TX
              78765
                                          
      
      See map: Google Maps    
  ","","(512) 467-7979","","",""
"Stewardship Architecture","EcoBusiness","
  
          Stewardship Architecture
              
        2313 A W 8th               
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 478-9033(512) 478-6851","","",""
"Save Barton Creek Association","EcoCommunity - non-profits, government agencies and community groups.","
  
          Save Barton Creek Assn
              
        224 E 9 St Ste 300              
              Austin,               TX
              78763
                                          
      
      See map: Google Maps    
  ","","(512) 454-8090","","",""
"Texas River School","EcoCommunity - non-profits, government agencies and community groups.","
  
          Texas River School
              
        801 W Gilbon St              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 447-0238","","",""
"PowerSmack","EcoCommunity - non-profits, government agencies and community groups.","","","(512) 476-9899","","",""
"Texpert Tours","EcoBusiness","
  
          Texpert Tours
              
        2802 Oak Park Dr              
              Austin,               TX
              78723
                                          
      
      See map: Google Maps    
  ","","(512) 383-8989","","",""
"Johnson Fine Craft & Design","EcoBusiness","","","(512) 851-6249","","",""
"Signs By Shane","EcoBusiness","
  
          Barton Hill
              
        1209 Hollow Creek Dr. 4              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 662-4513","","",""
"Signs By Shane","EcoBusiness","
  
          Barton Hill
              
        1209 Hollow Creek Dr. 4              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 662-4513","","",""
"Ambit Energy","EcoBusiness","
  
          Ambit Energy
              
        1801 North Lamar Street Suite 200              
              Austin,               TX
              75202
                                          
      
      See map: Google Maps    
  ","","(512) 584-6848","","",""
"Tom's Tabooley","EcoBusiness","
  
          Tom's Tabooley
              
         2928 Guadalupe St. #102              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 479-7337","","",""
"Tribe Creative Agency","EcoBusiness","
  
          Tribe Creative Agency
              
        1012 E 381/2 St              
              Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","","(512) 501-4366","","",""
"Vroom Scooter Stores","EcoBusiness","
  
          Vroom Scooter Store
              
        Ste 150 1111 E 11th St              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 524-1455","","",""
"Ecoxera","EcoBusiness","
  
          Ecoxera
              
        1111 E. 11th St. Suite 100 Austin, TX 78702              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 628-1300","","",""
"HDR Engineering","EcoBusiness","
  
          HDR Engineering
              
        4401 West Gate Blvd, Suite 400              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","","(512) 912-5100","","",""
"Z Pizza","EcoBusiness","
  
          Z Pizza
              
        452 W 2nd St              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","","(512) 472-9800","","",""
"Effective Energetics","EcoBusiness","
  
          Effective Energetics
              
        Energy Evaluation LLC, dba Blue Marble 4oo W. Broade Street              
              Austin,               TX
              78641
                                          
      
      See map: Google Maps    
  ","","(512) 992-5847","","",""
"Sweet Leaf Tea","EcoBusiness","
  
          Sweet Leaf Tea
              
        515 SOUTH CONGRESS              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 328-7775","","",""
"The Dandelion Project","EcoBusiness","
  
          The Dandelion Project
              
        2311 E. 10th Street              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(541) 942-8197","","",""
"Pedal Pushers","EcoBusiness","
  
          Pedal Pushers
              
        1414 E 5th St.              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 826-3414","","",""
"Austin Texas Water Heaters","EcoBusiness","","","(512) 989-2101","","",""
"Greenling Organics","EcoBusiness","
  
              
        3913 Todd Ln. suite 618              
              Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/greenling-logo.gif","(512) 440-8449","","","masonarnold"
"Sparque Studio","EcoBusiness","","","","","",""
"SpiritMama","EcoBusiness","
  
          SpiritMama
              
        3710 Malone Dr              
              Austin,               TX
              78749
                                          
      
      See map: Google Maps    
  ","","","","",""
"Therapy Clothings","EcoBusiness","
  
          Therapy Clothings
              
        1113 S Congress Ave              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 326-2331","","",""
"Counter Cafe","EcoBusiness","
  
          Counter Cafe
              
        626 N Lamar Blvd              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 708-8800","","",""
"One Light Charcoal","EcoBusiness","","","(512) 762-5522(512) 970-1124","","",""
"Snack Bar","EcoBusiness","
  
          Snack Bar
              
        1224 S Congress Ave              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 445-2626","","",""
"Somnio's Cafe","EcoBusiness","
  
          Somnio's Cafe
              
        1807 S 1st St              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 442-2500","","",""
"The Steeping Room","EcoBusiness","
  
          The Steeping Room
              
        11410 Century Oaks Terrace              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","","(512) 977-8337","","",""
"Soy Delites","EcoBusiness","
  
          Soy Delites
              
        5711 Duvall St.              
              Austin,               TX
              78752
                                          
      
      See map: Google Maps    
  ","","(512) 451-1217","","",""
"Yummy Farms","EcoBusiness","
  
          Yummy Farms
              
        Yummy Farms LLC P.O. Box 90325              
              Austin,               TX
              90325
                                          
      
      See map: Google Maps    
  ","","(512) 789-0572","","",""
"Progress Coffee","EcoBusiness","
  
              
        500 San Marcos St              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 493-0963","","",""
"HOPE Farmers Market","EcoCommunity - non-profits, government agencies and community groups.","
  
          HOPE Farmers Market
              
        414 Waller Street              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/hopefm_logo.jpg","(512) 699-6077(512) 699-6077","(512) 699-6077","",""
"Eco-Wise","EcoBusiness","
  
          Eco-Wise
              
        110 West Elizabeth              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/ecohead_03_0.jpg","(512) 326-4474","(512) 326-4496","",""
"Drink Pretty Water","EcoBusiness","
  
              
        15304 Rainbow One              
              Austin,               TX
              78734
                                          
      
      See map: Google Maps    
  ","","(512) 577-4954","(512) 266-0225","","bamstel"
"Emerald City Press","EcoBusiness","
  
          Emerald City Press
              
        915 N. Lamar Blvd.              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 472-6660(512) 970-3095","","",""
"The Second Leaf","EcoBusiness","","sites/default/files/org_logos/thenewlogo.jpg","(866) 910-8602","","",""
"Resolve Designs","EcoBusiness","
  
          Resolve Designs
              
        8515 Brodie Lane - 2212              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","","(512) 712-5792","","",""
"Element Supply","EcoBusiness","
  
          Element Supply: enviro-building materials + design
              
        1213 W. 5th Street B2              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/es_cmyk_logo_small_web.jpg","(512) 477-7733","(512) 477-7766","",""
"Hybrid Innovations LLC","EcoBusiness","","","(512) 739-6262","","",""
"The Texas Drought Project","EcoCommunity - non-profits, government agencies and community groups.","
  
          Texas Drought Project
              
        16306 Buena Tierra              
              San Antonio,               TX
              78232
                                          
      
      See map: Google Maps    
  ","","(210) 381-4021","","",""
"CenterPoint Energy","EcoBusiness","
  
          Center Point Energy
              
        PO Box 1700              
              Houston,               TX
              77251
                                          
      
      See map: Google Maps    
  ","","(713) 207-7762","","",""
"Country Side Austin","EcoBusiness","
  
          Country Side Austin
              
        13292 Pond Springs Rd              
              Austin,               TX
              78729
                                          
      
      See map: Google Maps    
  ","","(512) 249-0100","","",""
"Earth911","EcoBusiness","
  
          Earth911
              
        1375 N. Scottsdale Rd. Suite 360              
              Scottsdale,               AZ
              85257
                                          
      
      See map: Google Maps    
  ","","(480) 889-2650","","",""
"IES Radiant Barrier","EcoBusiness","
  
          IES Radiant Barrier
              
        1107 Wonder Street Suite 104              
              Round Rock,               TX
              78681
                                          
      
      See map: Google Maps    
  ","","(512) 331-9444","","",""
"Nature's Treasures of Texas","EcoBusiness","
  
          Nature's Treasures of Texas
              
        1100 East 5th St              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 472-5015","","",""
"Burly House Networks","EcoBusiness","
  
                  Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/burlyhouse-logo.jpg","(512) 912-1371","","",""
"Mathew Sturtevant Photographer","EcoBusiness","
  
              
        3005 Catalin Dr.              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","","(512) 924-2385","","",""
"MTH Greenhomes","EcoBusiness","
  
          MTH Greenhomes
              
        11740 Jollyville Road Suite 100              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 284-9046","","",""
"Austin Roasting Company","EcoBusiness","
  
          Austin Roasting Company
              
        720 Bastrop Hwy #301              
              Austin,               TX
              78741
                                          
      
      See map: Google Maps    
  ","","(512) 751-2272","","",""
"IgnaFire Chocolates","EcoBusiness","","","","","",""
"Kala's Kuisine","EcoBusiness","","","(512) 257-9900","","",""
"Masterpiece Remodeling & Design","EcoBusiness","
  
          Masterpiece Remodeling & Design
              
        8500 N. Mopac #810              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 338-4220","","",""
"Earth Sheltered Home","EcoBusiness","
  
          R.C. Smoot Construction 
              
        P.O. Box 1736              
              Austin,               TX
              78602
                                          
      
      See map: Google Maps    
  ","","(512) 844-8820","","",""
"Eco Inspections","EcoBusiness","","","(512) 784-3429","","",""
"Rutamaya Cafe","EcoBusiness","
  
          Rutamaya Cafe
              
        3601 South Congress Ave              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 707-9637","","",""
"Kennady","EcoBusiness","
  
          Kennady
              
        92 Red River St.               
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 472-1768","","",""
"Kerbey Lane Cafe","EcoBusiness","
  
              
        2111 Dickson Dr. Suite A.               
              Austin,               TX
              78731
                                          
      
      See map: Google Maps    
  ","","(512) 451-1436","","",""
"Eco People","EcoBusiness","
  
          Jack & Adam's Bicycles
              
        1210 Barton Springs Rd              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(805) 813-4993","","",""
"EZ Herbs","EcoBusiness","
  
          Austin School of Herbal Studies
              
        8803 Bear Creek Drive              
              Austin,               TX
              78737
                                          
      
      See map: Google Maps    
  ","","(512) 301-5838","","",""
"Aztec Pest Service","EcoBusiness","
  
          Aztec Organic Pest Service
              
        South Austin              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 443-0123","","",""
"Lambent Energy","EcoBusiness","
  
          Lambent Energy
              
        2900 North Quinlan Park Road #240              
              Austin,               TX
              78732-6085
                                          
      
      See map: Google Maps    
  ","","(512) 366-8146","","",""
"Lighthouse Solar","EcoBusiness","
  
          Lighthouse Energy
              
        1011 North Lamar              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 476-5555","","",""
"Maverick Solar Enterprises","EcoBusiness","
  
          Maverick Solar Enterprises, Inc.
              
        12010 West Highway 290, Suite 160              
              Austin,               TX
              78737
                                          
      
      See map: Google Maps    
  ","","(512) 919-4493","","",""
"Solar Control Specialists","EcoBusiness","
  
          Solar Control Specialists
                  Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 736-2148","","",""
"Solarplex of Texas","EcoBusiness","
  
          Solarplex of Texas
              
        3501B Larchmont Cove               
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 796-7435","","",""
"Austin Farmers Market Downtown","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        4th and Guadalupe - Downtown              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","","","","",""
"Austin Farmers Market Triangle","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        46th and Lamar - The Triangle              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","","","","",""
"Genesis Today","EcoBusiness","
  
              
        14101 W. Hwy. 290 Building 1900              
              Austin,               TX
              78737
                                          
      
      See map: Google Maps    
  ","","(512) 858-1977","(512) 858-2501","",""
"Four Seasons Solar Products","EcoBusiness","
  
          Four Seasons Solar Products
              
        13343 US Highway 183N, Suite 200              
              Austin,               TX
              78750
                                          
      
      See map: Google Maps    
  ","","(512) 331-8044","","",""
"Global Energy Designs","EcoBusiness","
  
          Global Energy Designs
              
        1704 E 5th St, Austin              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 845-3568","","",""
"Genesis Pure","EcoBusiness","","","(512) 680-4203","","",""
"Skygod Energy","EcoBusiness","
  
          Skygod Energy
              
        3505 South Lamar ste. 2020              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 297-7408","","",""
"Solar Man","EcoBusiness","
  
          Solar Man
              
        809 Plumpton Dr              
              Austin,               TX
              78745-5527
                                          
      
      See map: Google Maps    
  ","","(512) 442-8081","","",""
"Solar Winds Inc","EcoBusiness","
  
          Solar Winds Inc
              
        3711 South MoPac Expressway Building 2              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 682-9300","","",""
"SolarTek Energy","EcoBusiness","
  
          SolarTek Energy
              
        12202 Double Elm Dr Manchaca              
              Austin,               TX
              78652
                                          
      
      See map: Google Maps    
  ","","(512) 291-0200","","",""
"Solatube by SolarTex","EcoBusiness","
  
          Solatube by SolarTex
              
        8711 Burnet Rd Ste B-35              
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","","(512) 371-0399","","",""
"Southern Cross Electric","EcoBusiness","
  
          Southern Cross Electric
              
        7305 Trenton Dr              
              Austin,               TX
              78736
                                          
      
      See map: Google Maps    
  ","","(512) 775-8774","","",""
"Southwest Pv Systems Incorporated","EcoBusiness","
  
          Southwest Pv Systems Incorporated
              
        Apt A 808 E 30th St              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 482-9323","","",""
"Standard Renewable Energy","EcoBusiness","
  
          Standard Renewable Energy
              
        Suite C-111 6448 Northeast Dr              
              Austin,               TX
              78723
                                          
      
      See map: Google Maps    
  ","","(512) 524-6094","","",""
"Sunbelt Solar","EcoBusiness","
  
          Sunbelt Solar
              
        7901 Cameron Rd              
              Austin,               TX
              78754
                                          
      
      See map: Google Maps    
  ","","(512) 617-6747","","",""
"Organics By Gosh!","EcoBusiness","
  
              
         2115 Barton Hills Dr.               
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 276-1211","","",""
"Sunergy, LLC","EcoBusiness","
  
          Sunergy, LLC
              
        P.O. Box 40508              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 351-4352","","",""
"Sunrise Solar","EcoBusiness","
  
          Sunrise Solar
              
        5114 Balcones Woods Dr. Suite 307 #250              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 243-0628","","",""
"Texas Solar Power Co","EcoBusiness","
  
          Texas Solar Power Co
              
        1703 W Koenig Ln              
              Austin,               TX
              78756-1206
                                          
      
      See map: Google Maps    
  ","","(512) 459-9494","","",""
"Sunergie","EcoBusiness","
  
          Sunergie
              
        405 Academy Dr              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 275-6581","","",""
"Urban Homestaed","EcoBusiness","","","(512) 560-3097","","",""
"The Purple Fig Cleaning Co-Op","EcoBusiness","
  
          Purple Fig Cleaning Co-Op 
              
        710 Patterson Ave              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 351-1405","","",""
"Pristine Eco Clean","EcoBusiness","","","(512) 535-5132","","",""
"The Picky Maid","EcoBusiness","
  
          The Picky Maid
              
        Suite 1540 401 Congress Ave              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","","(512) 264-4490","","",""
"TX Green CleanAddress:","EcoBusiness","
  
          TX Green CleanAddress:
              
        11809 Emerald Falls Dr              
              Austin,               TX
              78738
                                          
      
      See map: Google Maps    
  ","","(512) 243-8385","","",""
"Austin Barrels","EcoBusiness","","","(512) 351-3006","","",""
